USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root       137  0.0  0.0      0     0 ?        S    03:32   0:00 [ata/12]
root       138  0.0  0.0      0     0 ?        S    03:32   0:00 [ata/13]
root       139  0.0  0.0      0     0 ?        S    03:32   0:00 [ata/14]
root       140  0.0  0.0      0     0 ?        S    03:32   0:00 [ata/15]
root       141  0.0  0.0      0     0 ?        S    03:32   0:00 [ata_aux]
root       142  0.0  0.0      0     0 ?        S    03:32   0:00 [ksuspend_usbd]
root       143  0.0  0.0      0     0 ?        S    03:32   0:00 [khubd]
root       144  0.0  0.0      0     0 ?        S    03:32   0:00 [kseriod]
root       145  0.0  0.0      0     0 ?        S    03:32   0:00 [md/0]
root       146  0.0  0.0      0     0 ?        S    03:32   0:00 [md/1]
root       147  0.0  0.0      0     0 ?        S    03:32   0:00 [md/2]
root       148  0.0  0.0      0     0 ?        S    03:32   0:00 [md/3]
root       149  0.0  0.0      0     0 ?        S    03:32   0:00 [md/4]
root       150  0.0  0.0      0     0 ?        S    03:32   0:00 [md/5]
root       151  0.0  0.0      0     0 ?        S    03:32   0:00 [md/6]
root       152  0.0  0.0      0     0 ?        S    03:32   0:00 [md/7]
root       153  0.0  0.0      0     0 ?        S    03:32   0:00 [md/8]
root       154  0.0  0.0      0     0 ?        S    03:32   0:00 [md/9]
root       155  0.0  0.0      0     0 ?        S    03:32   0:00 [md/10]
root       156  0.0  0.0      0     0 ?        S    03:32   0:00 [md/11]
root       157  0.0  0.0      0     0 ?        S    03:32   0:00 [md/12]
root       158  0.0  0.0      0     0 ?        S    03:32   0:00 [md/13]
root       159  0.0  0.0      0     0 ?        S    03:32   0:00 [md/14]
root       160  0.0  0.0      0     0 ?        S    03:32   0:00 [md/15]
root       161  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/0]
root       162  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/1]
root       163  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/2]
root       164  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/3]
root       165  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/4]
root       166  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/5]
root       167  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/6]
root       168  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/7]
root       169  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/8]
root       170  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/9]
root       171  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/10]
root       172  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/11]
root       173  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/12]
root       174  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/13]
root       175  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/14]
root       176  0.0  0.0      0     0 ?        S    03:32   0:00 [md_misc/15]
root       177  0.0  0.0      0     0 ?        S    03:32   0:00 [khungtaskd]
root       178  0.0  0.0      0     0 ?        S    03:32   0:00 [kswapd0]
root       179  0.0  0.0      0     0 ?        S    03:32   0:00 [kswapd1]
root       180  0.0  0.0      0     0 ?        SN   03:32   0:00 [ksmd]
root       181  0.0  0.0      0     0 ?        SN   03:32   0:00 [khugepaged]
root       182  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/0]
root       183  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/1]
root       184  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/2]
root       185  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/3]
root       186  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/4]
root       187  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/5]
root       188  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/6]
root       189  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/7]
root       190  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/8]
root       191  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/9]
root       192  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/10]
root       193  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/11]
root       194  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/12]
root       195  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/13]
root       196  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/14]
root       197  0.0  0.0      0     0 ?        S    03:32   0:00 [aio/15]
root       198  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/0]
root       199  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/1]
root       200  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/2]
root       201  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/3]
root       202  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/4]
root       203  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/5]
root       204  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/6]
root       205  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/7]
root       206  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/8]
root       207  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/9]
root       208  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/10]
root       209  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/11]
root       210  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/12]
root       211  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/13]
root       212  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/14]
root       213  0.0  0.0      0     0 ?        S    03:32   0:00 [crypto/15]
root       218  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/0]
root       219  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/1]
root       220  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/2]
root       221  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/3]
root       222  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/4]
root       223  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/5]
root       224  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/6]
root       225  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/7]
root       226  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/8]
root       227  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/9]
root       228  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/10]
root       229  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/11]
root       230  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/12]
root       231  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/13]
root       232  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/14]
root       233  0.0  0.0      0     0 ?        S    03:32   0:00 [kthrotld/15]
root       234  0.1  0.0      0     0 ?        SN   03:32   0:58 [kipmi0]
root       236  0.0  0.0      0     0 ?        S    03:32   0:00 [kpsmoused]
root       237  0.0  0.0      0     0 ?        S    03:32   0:00 [usbhid_resumer]
root       269  0.0  0.0      0     0 ?        S    03:32   0:00 [kstriped]
root       413  0.0  0.0      0     0 ?        S    03:32   0:00 [mpt_poll_0]
root       414  0.0  0.0      0     0 ?        S    03:32   0:00 [mpt/0]
root       417  0.0  0.0      0     0 ?        S    03:32   0:00 [scsi_eh_0]
root       430  0.0  0.0      0     0 ?        S    03:32   0:00 [scsi_eh_1]
root       431  0.0  0.0      0     0 ?        S    03:32   0:00 [scsi_eh_2]
root       434  0.0  0.0      0     0 ?        S    03:32   0:10 [scsi_eh_3]
root       435  0.0  0.0      0     0 ?        S    03:32   0:00 [scsi_eh_4]
root       511  0.0  0.0      0     0 ?        S    03:32   0:00 [kdmflush]
root       523  0.0  0.0      0     0 ?        S    03:32   0:00 [jbd2/dm-0-8]
root       524  0.0  0.0      0     0 ?        S    03:32   0:00 [ext4-dio-unwrit]
root       525  0.0  0.0      0     0 ?        S    03:32   0:00 [ext4-dio-unwrit]
root       526  0.0  0.0      0     0 ?        S    03:32   0:00 [ext4-dio-unwrit]
root       527  0.0  0.0      0     0 ?        S    03:32   0:00 [ext4-dio-unwrit]
root       528  0.0  0.0      0     0 ?        S    03:32   0:00 [ext4-dio-unwrit]
root       529  0.0  0.0      0     0 ?        S    03:32   0:00 [ext4-dio-unwrit]
root       530  0.0  0.0      0     0 ?        S    03:32   0:00 [ext4-dio-unwrit]
root       531  0.0  0.0      0     0 ?        S    03:32   0:00 [ext4-dio-unwrit]
root       532  0.0  0.0      0     0 ?        S    03:32   0:00 [ext4-dio-unwrit]
root       533  0.0  0.0      0     0 ?        S    03:32   0:00 [ext4-dio-unwrit]
