USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0  21448   532 ?        Ss   Mar06   0:07 /sbin/init
root         2  0.0  0.0      0     0 ?        S    Mar06   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    Mar06   0:16 [migration/0]
root         4  0.0  0.0      0     0 ?        S    Mar06   0:30 [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S    Mar06   0:00 [migration/0]
root         6  0.0  0.0      0     0 ?        S    Mar06   0:04 [watchdog/0]
root         7  0.0  0.0      0     0 ?        S    Mar06   0:03 [migration/1]
root         8  0.0  0.0      0     0 ?        S    Mar06   0:00 [migration/1]
root         9  0.0  0.0      0     0 ?        S    Mar06   0:34 [ksoftirqd/1]
root        10  0.0  0.0      0     0 ?        S    Mar06   0:03 [watchdog/1]
root        11  0.0  0.0      0     0 ?        S    Mar06   0:06 [migration/2]
root        12  0.0  0.0      0     0 ?        S    Mar06   0:00 [migration/2]
root        13  0.0  0.0      0     0 ?        S    Mar06   0:15 [ksoftirqd/2]
root        14  0.0  0.0      0     0 ?        S    Mar06   0:02 [watchdog/2]
root        15  0.0  0.0      0     0 ?        S    Mar06   0:02 [migration/3]
root        16  0.0  0.0      0     0 ?        S    Mar06   0:00 [migration/3]
root        17  0.0  0.0      0     0 ?        S    Mar06   0:08 [ksoftirqd/3]
root        18  0.0  0.0      0     0 ?        S    Mar06   0:02 [watchdog/3]
root        19  0.0  0.0      0     0 ?        S    Mar06  25:42 [events/0]
root        20  0.0  0.0      0     0 ?        S    Mar06   2:34 [events/1]
root        21  0.0  0.0      0     0 ?        S    Mar06   2:47 [events/2]
root        22  0.0  0.0      0     0 ?        S    Mar06   4:30 [events/3]
root        23  0.0  0.0      0     0 ?        S    Mar06   0:00 [cgroup]
root        24  0.0  0.0      0     0 ?        S    Mar06   0:00 [khelper]
root        25  0.0  0.0      0     0 ?        S    Mar06   0:00 [netns]
root        26  0.0  0.0      0     0 ?        S    Mar06   0:00 [async/mgr]
root        27  0.0  0.0      0     0 ?        S    Mar06   0:00 [pm]
root        28  0.0  0.0      0     0 ?        S    Mar06   0:11 [sync_supers]
root        29  0.0  0.0      0     0 ?        S    Mar06   0:15 [bdi-default]
root        30  0.0  0.0      0     0 ?        S    Mar06   0:00 [kintegrityd/0]
root        31  0.0  0.0      0     0 ?        S    Mar06   0:00 [kintegrityd/1]
root        32  0.0  0.0      0     0 ?        S    Mar06   0:00 [kintegrityd/2]
root        33  0.0  0.0      0     0 ?        S    Mar06   0:00 [kintegrityd/3]
root        34  0.0  0.0      0     0 ?        S    Mar06  18:46 [kblockd/0]
root        35  0.0  0.0      0     0 ?        S    Mar06   1:32 [kblockd/1]
root        36  0.0  0.0      0     0 ?        S    Mar06   6:17 [kblockd/2]
root        37  0.0  0.0      0     0 ?        S    Mar06   1:09 [kblockd/3]
root        38  0.0  0.0      0     0 ?        S    Mar06   0:00 [kacpid]
root        39  0.0  0.0      0     0 ?        S    Mar06   0:00 [kacpi_notify]
root        40  0.0  0.0      0     0 ?        S    Mar06   0:00 [kacpi_hotplug]
root        41  0.0  0.0      0     0 ?        S    Mar06   7:17 [ata/0]
root        42  0.0  0.0      0     0 ?        S    Mar06   4:46 [ata/1]
root        43  0.0  0.0      0     0 ?        S    Mar06   1:56 [ata/2]
root        44  0.0  0.0      0     0 ?        S    Mar06   0:24 [ata/3]
root        45  0.0  0.0      0     0 ?        S    Mar06   0:00 [ata_aux]
root        46  0.0  0.0      0     0 ?        S    Mar06   0:00 [ksuspend_usbd]
root        47  0.0  0.0      0     0 ?        S    Mar06   0:00 [khubd]
root        48  0.0  0.0      0     0 ?        S    Mar06   0:00 [kseriod]
root        49  0.0  0.0      0     0 ?        S    Mar06   0:00 [md/0]
root        50  0.0  0.0      0     0 ?        S    Mar06   0:00 [md/1]
root        51  0.0  0.0      0     0 ?        S    Mar06   0:00 [md/2]
root        52  0.0  0.0      0     0 ?        S    Mar06   0:00 [md/3]
root        53  0.0  0.0      0     0 ?        S    Mar06   0:00 [md_misc/0]
root        54  0.0  0.0      0     0 ?        S    Mar06   0:00 [md_misc/1]
root        55  0.0  0.0      0     0 ?        S    Mar06   0:00 [md_misc/2]
root        56  0.0  0.0      0     0 ?        S    Mar06   0:00 [md_misc/3]
root        57  0.0  0.0      0     0 ?        S    Mar06   0:01 [khungtaskd]
root        58  0.0  0.0      0     0 ?        S    Mar06  46:35 [kswapd0]
root        59  0.0  0.0      0     0 ?        SN   Mar06   0:00 [ksmd]
root        60  0.0  0.0      0     0 ?        SN   Mar06   1:17 [khugepaged]
root        61  0.0  0.0      0     0 ?        S    Mar06   0:00 [aio/0]
root        62  0.0  0.0      0     0 ?        S    Mar06   0:00 [aio/1]
root        63  0.0  0.0      0     0 ?        S    Mar06   0:00 [aio/2]
root        64  0.0  0.0      0     0 ?        S    Mar06   0:00 [aio/3]
root        65  0.0  0.0      0     0 ?        S    Mar06   0:00 [crypto/0]
root        66  0.0  0.0      0     0 ?        S    Mar06   0:00 [crypto/1]
root        67  0.0  0.0      0     0 ?        S    Mar06   0:00 [crypto/2]
root        68  0.0  0.0      0     0 ?        S    Mar06   0:00 [crypto/3]
root        73  0.0  0.0      0     0 ?        S    Mar06   0:00 [kthrotld/0]
root        74  0.0  0.0      0     0 ?        S    Mar06   0:00 [kthrotld/1]
root        75  0.0  0.0      0     0 ?        S    Mar06   0:00 [kthrotld/2]
root        76  0.0  0.0      0     0 ?        S    Mar06   0:00 [kthrotld/3]
root        78  0.0  0.0      0     0 ?        S    Mar06   0:00 [kpsmoused]
root        79  0.0  0.0      0     0 ?        S    Mar06   0:00 [usbhid_resumer]
root       110  0.0  0.0      0     0 ?        S    Mar06   0:00 [kstriped]
root       263  0.0  0.0      0     0 ?        S    Mar06  29:57 [scsi_eh_0]
root       264  0.0  0.0      0     0 ?        S    Mar06   0:00 [scsi_eh_1]
root       266  0.0  0.0      0     0 ?        S    Mar06   0:00 [scsi_eh_2]
root       267  0.0  0.0      0     0 ?        S    Mar06   0:00 [scsi_eh_3]
root       356  0.0  0.0      0     0 ?        S    Mar06   1:03 [kdmflush]
root       368  0.0  0.0      0     0 ?        S    Mar06  16:51 [jbd2/dm-0-8]
root       369  0.0  0.0      0     0 ?        S    Mar06   0:00 [ext4-dio-unwrit]
root       370  0.0  0.0      0     0 ?        S    Mar06   0:00 [ext4-dio-unwrit]
root       371  0.0  0.0      0     0 ?        S    Mar06   0:00 [ext4-dio-unwrit]
root       372  0.0  0.0      0     0 ?        S    Mar06   0:00 [ext4-dio-unwrit]
root       465  0.0  0.0  10972   712 ?        S<s  Mar06   0:00 /sbin/udevd -d
root       516  0.0  0.0      0     0 ?        S    Mar06   0:00 [edac-poller]
root       582  0.0  0.0      0     0 ?        S    Mar06   0:00 [hd-audio0]
root       880  0.0  0.0      0     0 ?        S    Mar06   0:00 [kvm-irqfd-clean]
root       928  0.0  0.0      0     0 ?        S    Mar06   0:00 [kjournald]
root       979  0.0  0.0      0     0 ?        S    Mar06   0:17 [kauditd]
root      1163  0.0  0.0      0     0 ?        S    Mar06  77:23 [flush-253:0]
root      1251  0.0  0.0   9120   428 ?        Ss   Mar06   0:00 /sbin/dhclient -1 -q -cf /etc/dhcp/dhclient-eth0.conf -lf /var/lib/dhclient/dhclient-eth0.leases -pf /var/run/dhclient-eth0.pid eth0
root      1301  0.0  0.0  93200   504 ?        S<sl Mar06   0:42 auditd
nslcd     1326  0.0  0.0 450968  1772 ?        Ssl  Mar06   0:26 /usr/sbin/nslcd
root      1339  0.0  0.0 257868  4564 ?        Sl   Mar06   0:24 /sbin/rsyslogd -i /var/run/syslogd.pid -c 5
root      1368  0.0  0.0  10820   340 ?        Ss   Mar06   3:40 irqbalance --pid=/var/run/irqbalance.pid
rpc       1382  0.0  0.0  18976   468 ?        Ss   Mar06   0:03 rpcbind
rpcuser   1400  0.0  0.0  23348   296 ?        Ss   Mar06   0:00 rpc.statd
root      1513  0.0  0.0 262488   356 ?        Ssl  Mar06   0:00 /usr/lib/vmware/bin/vmware-vmblock-fuse -o subtype=vmware-vmblock,default_permissions,allow_other /var/run/vmblock-fuse
root      1526  0.0  0.0   4532     4 ?        Ss   Mar06   0:00 /usr/bin/vmnet-bridge -s 6 -d /var/run/vmnet-bridge-0.pid -n 0
root      1534  0.0  0.0   4504     4 ?        Ss   Mar06   0:00 /usr/bin/vmnet-netifup -s 6 -d /var/run/vmnet-netifup-vmnet1.pid /dev/vmnet1 vmnet1
root      1558  0.0  0.0  13644    40 ?        Ss   Mar06   0:00 /usr/bin/vmnet-dhcpd -s 6 -cf /etc/vmware/vmnet1/dhcpd/dhcpd.conf -lf /etc/vmware/vmnet1/dhcpd/dhcpd.leases -pf /var/run/vmnet-dhcpd-vmnet1.pid vmnet1
root      1561  0.0  0.0  11448   152 ?        S    Mar06   0:20 /usr/bin/vmnet-natd -s 6 -m /etc/vmware/vmnet8/nat.mac -c /etc/vmware/vmnet8/nat/nat.conf
root      1563  0.0  0.0   4504     4 ?        Ss   Mar06   0:00 /usr/bin/vmnet-netifup -s 6 -d /var/run/vmnet-netifup-vmnet8.pid /dev/vmnet8 vmnet8
