USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root        31  0.0  0.0      0     0 ?        S    Feb24   0:02 [migration/7]
root        32  0.0  0.0      0     0 ?        S    Feb24   0:00 [migration/7]
root        33  0.0  0.0      0     0 ?        S    Feb24   0:18 [ksoftirqd/7]
root        34  0.0  0.0      0     0 ?        S    Feb24   0:04 [watchdog/7]
root        35  0.0  0.0      0     0 ?        S    Feb24   0:01 [migration/8]
root        36  0.0  0.0      0     0 ?        S    Feb24   0:00 [migration/8]
root        37  0.0  0.0      0     0 ?        S    Feb24   0:07 [ksoftirqd/8]
root        38  0.0  0.0      0     0 ?        S    Feb24   0:04 [watchdog/8]
root        39  0.0  0.0      0     0 ?        S    Feb24   0:01 [migration/9]
root        40  0.0  0.0      0     0 ?        S    Feb24   0:00 [migration/9]
root        41  0.0  0.0      0     0 ?        S    Feb24   0:05 [ksoftirqd/9]
root        42  0.0  0.0      0     0 ?        S    Feb24   0:04 [watchdog/9]
root        43  0.0  0.0      0     0 ?        S    Feb24   0:00 [migration/10]
root        44  0.0  0.0      0     0 ?        S    Feb24   0:00 [migration/10]
root        45  0.0  0.0      0     0 ?        S    Feb24   0:12 [ksoftirqd/10]
root        46  0.0  0.0      0     0 ?        S    Feb24   0:04 [watchdog/10]
root        47  0.0  0.0      0     0 ?        S    Feb24   0:00 [migration/11]
root        48  0.0  0.0      0     0 ?        S    Feb24   0:00 [migration/11]
root        49  0.0  0.0      0     0 ?        S    Feb24   0:08 [ksoftirqd/11]
root        50  0.0  0.0      0     0 ?        S    Feb24   0:04 [watchdog/11]
root        51  0.0  0.0      0     0 ?        S    Feb24  16:14 [events/0]
root        52  0.0  0.0      0     0 ?        S    Feb24   2:31 [events/1]
root        53  0.0  0.0      0     0 ?        S    Feb24   2:12 [events/2]
root        54  0.0  0.0      0     0 ?        S    Feb24   2:55 [events/3]
root        55  0.0  0.0      0     0 ?        S    Feb24   2:06 [events/4]
root        56  0.0  0.0      0     0 ?        S    Feb24   2:40 [events/5]
root        57  0.0  0.0      0     0 ?        S    Feb24   2:31 [events/6]
root        58  0.0  0.0      0     0 ?        S    Feb24   2:22 [events/7]
root        59  0.0  0.0      0     0 ?        S    Feb24   5:52 [events/8]
root        60  0.0  0.0      0     0 ?        S    Feb24   2:19 [events/9]
root        61  0.0  0.0      0     0 ?        S    Feb24   2:23 [events/10]
root        62  0.0  0.0      0     0 ?        S    Feb24   3:17 [events/11]
root        63  0.0  0.0      0     0 ?        S    Feb24   0:00 [cgroup]
root        64  0.0  0.0      0     0 ?        S    Feb24   0:00 [khelper]
root        65  0.0  0.0      0     0 ?        S    Feb24   0:00 [netns]
root        66  0.0  0.0      0     0 ?        S    Feb24   0:00 [async/mgr]
root        67  0.0  0.0      0     0 ?        S    Feb24   0:00 [pm]
root        68  0.0  0.0      0     0 ?        S    Feb24   0:17 [sync_supers]
root        69  0.0  0.0      0     0 ?        S    Feb24   0:17 [bdi-default]
root        70  0.0  0.0      0     0 ?        S    Feb24   0:00 [kintegrityd/0]
root        71  0.0  0.0      0     0 ?        S    Feb24   0:00 [kintegrityd/1]
root        72  0.0  0.0      0     0 ?        S    Feb24   0:00 [kintegrityd/2]
root        73  0.0  0.0      0     0 ?        S    Feb24   0:00 [kintegrityd/3]
root        74  0.0  0.0      0     0 ?        S    Feb24   0:00 [kintegrityd/4]
root        75  0.0  0.0      0     0 ?        S    Feb24   0:00 [kintegrityd/5]
root        76  0.0  0.0      0     0 ?        S    Feb24   0:00 [kintegrityd/6]
root        77  0.0  0.0      0     0 ?        S    Feb24   0:00 [kintegrityd/7]
root        78  0.0  0.0      0     0 ?        S    Feb24   0:00 [kintegrityd/8]
root        79  0.0  0.0      0     0 ?        S    Feb24   0:00 [kintegrityd/9]
root        80  0.0  0.0      0     0 ?        S    Feb24   0:00 [kintegrityd/10]
root        81  0.0  0.0      0     0 ?        S    Feb24   0:00 [kintegrityd/11]
root        82  0.0  0.0      0     0 ?        S    Feb24   1:11 [kblockd/0]
root        83  0.0  0.0      0     0 ?        S    Feb24   1:22 [kblockd/1]
root        84  0.0  0.0      0     0 ?        S    Feb24   2:30 [kblockd/2]
root        85  0.0  0.0      0     0 ?        S    Feb24   3:18 [kblockd/3]
root        86  0.0  0.0      0     0 ?        S    Feb24   4:29 [kblockd/4]
root        87  0.0  0.0      0     0 ?        S    Feb24  15:12 [kblockd/5]
root        88  0.0  0.0      0     0 ?        S    Feb24   0:03 [kblockd/6]
root        89  0.0  0.0      0     0 ?        S    Feb24   0:03 [kblockd/7]
root        90  0.0  0.0      0     0 ?        S    Feb24   0:03 [kblockd/8]
root        91  0.0  0.0      0     0 ?        S    Feb24   0:03 [kblockd/9]
root        92  0.0  0.0      0     0 ?        S    Feb24   0:04 [kblockd/10]
root        93  0.0  0.0      0     0 ?        S    Feb24   0:13 [kblockd/11]
root        94  0.0  0.0      0     0 ?        S    Feb24   0:00 [kacpid]
root        95  0.0  0.0      0     0 ?        S    Feb24   0:00 [kacpi_notify]
root        96  0.0  0.0      0     0 ?        S    Feb24   0:00 [kacpi_hotplug]
root        97  0.0  0.0      0     0 ?        S    Feb24   0:23 [ata/0]
root        98  0.0  0.0      0     0 ?        S    Feb24   1:14 [ata/1]
root        99  0.0  0.0      0     0 ?        S    Feb24   2:12 [ata/2]
root       100  0.0  0.0      0     0 ?        S    Feb24   3:35 [ata/3]
root       101  0.0  0.0      0     0 ?        S    Feb24   3:04 [ata/4]
root       102  0.0  0.0      0     0 ?        S    Feb24  15:48 [ata/5]
root       103  0.0  0.0      0     0 ?        S    Feb24   0:11 [ata/6]
root       104  0.0  0.0      0     0 ?        S    Feb24   0:44 [ata/7]
root       105  0.0  0.0      0     0 ?        S    Feb24   1:14 [ata/8]
root       106  0.0  0.0      0     0 ?        S    Feb24   2:06 [ata/9]
root       107  0.0  0.0      0     0 ?        S    Feb24   1:40 [ata/10]
root       108  0.0  0.0      0     0 ?        S    Feb24   9:23 [ata/11]
root       109  0.0  0.0      0     0 ?        S    Feb24   0:00 [ata_aux]
root       110  0.0  0.0      0     0 ?        S    Feb24   0:00 [ksuspend_usbd]
root       111  0.0  0.0      0     0 ?        S    Feb24   0:00 [khubd]
root       112  0.0  0.0      0     0 ?        S    Feb24   0:00 [kseriod]
root       113  0.0  0.0      0     0 ?        S    Feb24   0:00 [md/0]
root       114  0.0  0.0      0     0 ?        S    Feb24   0:00 [md/1]
root       115  0.0  0.0      0     0 ?        S    Feb24   0:00 [md/2]
root       116  0.0  0.0      0     0 ?        S    Feb24   0:00 [md/3]
root       117  0.0  0.0      0     0 ?        S    Feb24   0:00 [md/4]
root       118  0.0  0.0      0     0 ?        S    Feb24   0:00 [md/5]
root       119  0.0  0.0      0     0 ?        S    Feb24   0:00 [md/6]
root       120  0.0  0.0      0     0 ?        S    Feb24   0:00 [md/7]
root       121  0.0  0.0      0     0 ?        S    Feb24   0:00 [md/8]
root       122  0.0  0.0      0     0 ?        S    Feb24   0:00 [md/9]
root       123  0.0  0.0      0     0 ?        S    Feb24   0:00 [md/10]
root       124  0.0  0.0      0     0 ?        S    Feb24   0:00 [md/11]
root       125  0.0  0.0      0     0 ?        S    Feb24   0:00 [md_misc/0]
root       126  0.0  0.0      0     0 ?        S    Feb24   0:00 [md_misc/1]
root       127  0.0  0.0      0     0 ?        S    Feb24   0:00 [md_misc/2]
root       128  0.0  0.0      0     0 ?        S    Feb24   0:00 [md_misc/3]
root       129  0.0  0.0      0     0 ?        S    Feb24   0:00 [md_misc/4]
root       130  0.0  0.0      0     0 ?        S    Feb24   0:00 [md_misc/5]
root       131  0.0  0.0      0     0 ?        S    Feb24   0:00 [md_misc/6]
root       132  0.0  0.0      0     0 ?        S    Feb24   0:00 [md_misc/7]
root       133  0.0  0.0      0     0 ?        S    Feb24   0:00 [md_misc/8]
root       134  0.0  0.0      0     0 ?        S    Feb24   0:00 [md_misc/9]
root       135  0.0  0.0      0     0 ?        S    Feb24   0:00 [md_misc/10]
root       136  0.0  0.0      0     0 ?        S    Feb24   0:00 [md_misc/11]
root       137  0.0  0.0      0     0 ?        S    Feb24   0:03 [khungtaskd]
root       138  0.0  0.0      0     0 ?        S    Feb24  43:27 [kswapd0]
root       139  0.0  0.0      0     0 ?        SN   Feb24   0:00 [ksmd]
root       140  0.0  0.0      0     0 ?        SN   Feb24   1:44 [khugepaged]
root       141  0.0  0.0      0     0 ?        S    Feb24   0:00 [aio/0]
root       142  0.0  0.0      0     0 ?        S    Feb24   0:00 [aio/1]
root       143  0.0  0.0      0     0 ?        S    Feb24   0:00 [aio/2]
root       144  0.0  0.0      0     0 ?        S    Feb24   0:00 [aio/3]
root       145  0.0  0.0      0     0 ?        S    Feb24   0:00 [aio/4]
root       146  0.0  0.0      0     0 ?        S    Feb24   0:00 [aio/5]
root       147  0.0  0.0      0     0 ?        S    Feb24   0:00 [aio/6]
root       148  0.0  0.0      0     0 ?        S    Feb24   0:00 [aio/7]
root       149  0.0  0.0      0     0 ?        S    Feb24   0:00 [aio/8]
root       150  0.0  0.0      0     0 ?        S    Feb24   0:00 [aio/9]
root       151  0.0  0.0      0     0 ?        S    Feb24   0:00 [aio/10]
root       152  0.0  0.0      0     0 ?        S    Feb24   0:00 [aio/11]
root       153  0.0  0.0      0     0 ?        S    Feb24   0:00 [crypto/0]
root       154  0.0  0.0      0     0 ?        S    Feb24   0:00 [crypto/1]
root       155  0.0  0.0      0     0 ?        S    Feb24   0:00 [crypto/2]
root       156  0.0  0.0      0     0 ?        S    Feb24   0:00 [crypto/3]
root       157  0.0  0.0      0     0 ?        S    Feb24   0:00 [crypto/4]
