USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0  21448  1356 ?        Ss   Mar20   0:07 /sbin/init
root         2  0.0  0.0      0     0 ?        S    Mar20   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    Mar20   0:12 [migration/0]
root         4  0.0  0.0      0     0 ?        S    Mar20   0:43 [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S    Mar20   0:00 [migration/0]
root         6  0.0  0.0      0     0 ?        S    Mar20   0:03 [watchdog/0]
root         7  0.0  0.0      0     0 ?        S    Mar20   0:04 [migration/1]
root         8  0.0  0.0      0     0 ?        S    Mar20   0:00 [migration/1]
root         9  0.0  0.0      0     0 ?        S    Mar20   0:31 [ksoftirqd/1]
root        10  0.0  0.0      0     0 ?        S    Mar20   0:02 [watchdog/1]
root        11  0.0  0.0      0     0 ?        S    Mar20   0:03 [migration/2]
root        12  0.0  0.0      0     0 ?        S    Mar20   0:00 [migration/2]
root        13  0.0  0.0      0     0 ?        S    Mar20   0:16 [ksoftirqd/2]
root        14  0.0  0.0      0     0 ?        S    Mar20   0:02 [watchdog/2]
root        15  0.0  0.0      0     0 ?        S    Mar20   0:03 [migration/3]
root        16  0.0  0.0      0     0 ?        S    Mar20   0:00 [migration/3]
root        17  0.0  0.0      0     0 ?        S    Mar20   0:07 [ksoftirqd/3]
root        18  0.0  0.0      0     0 ?        S    Mar20   0:03 [watchdog/3]
root        19  0.0  0.0      0     0 ?        S    Mar20   0:06 [migration/4]
root        20  0.0  0.0      0     0 ?        S    Mar20   0:00 [migration/4]
root        21  0.0  0.0      0     0 ?        S    Mar20   0:06 [ksoftirqd/4]
root        22  0.0  0.0      0     0 ?        S    Mar20   0:03 [watchdog/4]
root        23  0.0  0.0      0     0 ?        S    Mar20   0:11 [migration/5]
root        24  0.0  0.0      0     0 ?        S    Mar20   0:00 [migration/5]
root        25  0.0  0.0      0     0 ?        S    Mar20   0:09 [ksoftirqd/5]
root        26  0.0  0.0      0     0 ?        S    Mar20   0:02 [watchdog/5]
root        27  0.0  0.0      0     0 ?        S    Mar20   0:03 [migration/6]
root        28  0.0  0.0      0     0 ?        S    Mar20   0:00 [migration/6]
root        29  0.0  0.0      0     0 ?        S    Mar20   0:29 [ksoftirqd/6]
root        30  0.0  0.0      0     0 ?        S    Mar20   0:02 [watchdog/6]
root        31  0.0  0.0      0     0 ?        S    Mar20   0:02 [migration/7]
root        32  0.0  0.0      0     0 ?        S    Mar20   0:00 [migration/7]
root        33  0.0  0.0      0     0 ?        S    Mar20   0:22 [ksoftirqd/7]
root        34  0.0  0.0      0     0 ?        S    Mar20   0:02 [watchdog/7]
root        35  0.0  0.0      0     0 ?        S    Mar20   0:02 [migration/8]
root        36  0.0  0.0      0     0 ?        S    Mar20   0:00 [migration/8]
root        37  0.0  0.0      0     0 ?        S    Mar20   0:09 [ksoftirqd/8]
root        38  0.0  0.0      0     0 ?        S    Mar20   0:02 [watchdog/8]
root        39  0.0  0.0      0     0 ?        S    Mar20   0:01 [migration/9]
root        40  0.0  0.0      0     0 ?        S    Mar20   0:00 [migration/9]
root        41  0.0  0.0      0     0 ?        S    Mar20   0:07 [ksoftirqd/9]
