USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0  21448  1372 ?        Ss   Apr21   0:03 /sbin/init
root         2  0.0  0.0      0     0 ?        S    Apr21   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    Apr21   0:06 [migration/0]
root         4  0.0  0.0      0     0 ?        S    Apr21   0:12 [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/0]
root         6  0.0  0.0      0     0 ?        S    Apr21   0:01 [watchdog/0]
root         7  0.0  0.0      0     0 ?        S    Apr21   0:02 [migration/1]
root         8  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/1]
root         9  0.0  0.0      0     0 ?        S    Apr21   0:12 [ksoftirqd/1]
root        10  0.0  0.0      0     0 ?        S    Apr21   0:01 [watchdog/1]
root        11  0.0  0.0      0     0 ?        S    Apr21   0:01 [migration/2]
root        12  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/2]
root        13  0.0  0.0      0     0 ?        S    Apr21   0:04 [ksoftirqd/2]
root        14  0.0  0.0      0     0 ?        S    Apr21   0:01 [watchdog/2]
root        15  0.0  0.0      0     0 ?        S    Apr21   0:01 [migration/3]
root        16  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/3]
root        17  0.0  0.0      0     0 ?        S    Apr21   0:03 [ksoftirqd/3]
root        18  0.0  0.0      0     0 ?        S    Apr21   0:01 [watchdog/3]
root        19  0.0  0.0      0     0 ?        S    Apr21   0:02 [migration/4]
root        20  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/4]
root        21  0.0  0.0      0     0 ?        S    Apr21   0:02 [ksoftirqd/4]
root        22  0.0  0.0      0     0 ?        S    Apr21   0:00 [watchdog/4]
root        23  0.0  0.0      0     0 ?        S    Apr21   0:05 [migration/5]
root        24  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/5]
root        25  0.0  0.0      0     0 ?        S    Apr21   0:03 [ksoftirqd/5]
root        26  0.0  0.0      0     0 ?        S    Apr21   0:01 [watchdog/5]
root        27  0.0  0.0      0     0 ?        S    Apr21   0:01 [migration/6]
root        28  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/6]
root        29  0.0  0.0      0     0 ?        S    Apr21   0:05 [ksoftirqd/6]
root        30  0.0  0.0      0     0 ?        S    Apr21   0:00 [watchdog/6]
root        31  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/7]
root        32  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/7]
root        33  0.0  0.0      0     0 ?        S    Apr21   0:04 [ksoftirqd/7]
root        34  0.0  0.0      0     0 ?        S    Apr21   0:00 [watchdog/7]
root        35  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/8]
root        36  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/8]
root        37  0.0  0.0      0     0 ?        S    Apr21   0:02 [ksoftirqd/8]
root        38  0.0  0.0      0     0 ?        S    Apr21   0:00 [watchdog/8]
root        39  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/9]
root        40  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/9]
root        41  0.0  0.0      0     0 ?        S    Apr21   0:02 [ksoftirqd/9]
root        42  0.0  0.0      0     0 ?        S    Apr21   0:00 [watchdog/9]
root        43  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/10]
root        44  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/10]
root        45  0.0  0.0      0     0 ?        S    Apr21   0:03 [ksoftirqd/10]
root        46  0.0  0.0      0     0 ?        S    Apr21   0:01 [watchdog/10]
root        47  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/11]
root        48  0.0  0.0      0     0 ?        S    Apr21   0:00 [migration/11]
root        49  0.0  0.0      0     0 ?        S    Apr21   0:02 [ksoftirqd/11]
root        50  0.0  0.0      0     0 ?        S    Apr21   0:00 [watchdog/11]
root        51  0.0  0.0      0     0 ?        S    Apr21   3:35 [events/0]
root        52  0.0  0.0      0     0 ?        S    Apr21   0:40 [events/1]
root        53  0.0  0.0      0     0 ?        S    Apr21   0:34 [events/2]
root        54  0.0  0.0      0     0 ?        S    Apr21   0:32 [events/3]
root        55  0.0  0.0      0     0 ?        S    Apr21   0:31 [events/4]
root        56  0.0  0.0      0     0 ?        S    Apr21   0:35 [events/5]
root        57  0.0  0.0      0     0 ?        S    Apr21   0:41 [events/6]
root        58  0.0  0.0      0     0 ?        S    Apr21   0:38 [events/7]
root        59  0.0  0.0      0     0 ?        S    Apr21   1:13 [events/8]
root        60  0.0  0.0      0     0 ?        S    Apr21   0:37 [events/9]
root        61  0.0  0.0      0     0 ?        S    Apr21   0:42 [events/10]
root        62  0.0  0.0      0     0 ?        S    Apr21   0:51 [events/11]
root        63  0.0  0.0      0     0 ?        S    Apr21   0:00 [cgroup]
root        64  0.0  0.0      0     0 ?        S    Apr21   0:00 [khelper]
root        65  0.0  0.0      0     0 ?        S    Apr21   0:00 [netns]
root        66  0.0  0.0      0     0 ?        S    Apr21   0:00 [async/mgr]
root        67  0.0  0.0      0     0 ?        S    Apr21   0:00 [pm]
root        68  0.0  0.0      0     0 ?        S    Apr21   0:03 [sync_supers]
root        69  0.0  0.0      0     0 ?        S    Apr21   0:04 [bdi-default]
root        70  0.0  0.0      0     0 ?        S    Apr21   0:00 [kintegrityd/0]
root        71  0.0  0.0      0     0 ?        S    Apr21   0:00 [kintegrityd/1]
root        72  0.0  0.0      0     0 ?        S    Apr21   0:00 [kintegrityd/2]
root        73  0.0  0.0      0     0 ?        S    Apr21   0:00 [kintegrityd/3]
root        74  0.0  0.0      0     0 ?        S    Apr21   0:00 [kintegrityd/4]
root        75  0.0  0.0      0     0 ?        S    Apr21   0:00 [kintegrityd/5]
root        76  0.0  0.0      0     0 ?        S    Apr21   0:00 [kintegrityd/6]
root        77  0.0  0.0      0     0 ?        S    Apr21   0:00 [kintegrityd/7]
root        78  0.0  0.0      0     0 ?        S    Apr21   0:00 [kintegrityd/8]
root        79  0.0  0.0      0     0 ?        S    Apr21   0:00 [kintegrityd/9]
root        80  0.0  0.0      0     0 ?        S    Apr21   0:00 [kintegrityd/10]
root        81  0.0  0.0      0     0 ?        S    Apr21   0:00 [kintegrityd/11]
root        82  0.0  0.0      0     0 ?        S    Apr21   0:29 [kblockd/0]
root        83  0.0  0.0      0     0 ?        S    Apr21   0:36 [kblockd/1]
root        84  0.0  0.0      0     0 ?        S    Apr21   0:59 [kblockd/2]
root        85  0.0  0.0      0     0 ?        S    Apr21   1:17 [kblockd/3]
root        86  0.0  0.0      0     0 ?        S    Apr21   1:51 [kblockd/4]
root        87  0.0  0.0      0     0 ?        S    Apr21   5:54 [kblockd/5]
root        88  0.0  0.0      0     0 ?        S    Apr21   0:00 [kblockd/6]
root        89  0.0  0.0      0     0 ?        S    Apr21   0:00 [kblockd/7]
root        90  0.0  0.0      0     0 ?        S    Apr21   0:00 [kblockd/8]
root        91  0.0  0.0      0     0 ?        S    Apr21   0:00 [kblockd/9]
root        92  0.0  0.0      0     0 ?        S    Apr21   0:00 [kblockd/10]
root        93  0.0  0.0      0     0 ?        S    Apr21   0:01 [kblockd/11]
root        94  0.0  0.0      0     0 ?        S    Apr21   0:00 [kacpid]
root        95  0.0  0.0      0     0 ?        S    Apr21   0:00 [kacpi_notify]
root        96  0.0  0.0      0     0 ?        S    Apr21   0:00 [kacpi_hotplug]
root        97  0.0  0.0      0     0 ?        S    Apr21   0:09 [ata/0]
root        98  0.0  0.0      0     0 ?        S    Apr21   0:16 [ata/1]
root        99  0.0  0.0      0     0 ?        S    Apr21   0:36 [ata/2]
root       100  0.0  0.0      0     0 ?        S    Apr21   0:54 [ata/3]
root       101  0.0  0.0      0     0 ?        S    Apr21   1:01 [ata/4]
root       102  0.0  0.0      0     0 ?        S    Apr21   4:07 [ata/5]
root       103  0.0  0.0      0     0 ?        S    Apr21   0:02 [ata/6]
root       104  0.0  0.0      0     0 ?        S    Apr21   0:04 [ata/7]
root       105  0.0  0.0      0     0 ?        S    Apr21   0:10 [ata/8]
root       106  0.0  0.0      0     0 ?        S    Apr21   0:15 [ata/9]
root       107  0.0  0.0      0     0 ?        S    Apr21   0:16 [ata/10]
root       108  0.0  0.0      0     0 ?        S    Apr21   1:10 [ata/11]
root       109  0.0  0.0      0     0 ?        S    Apr21   0:00 [ata_aux]
root       110  0.0  0.0      0     0 ?        S    Apr21   0:00 [ksuspend_usbd]
root       111  0.0  0.0      0     0 ?        S    Apr21   0:00 [khubd]
root       112  0.0  0.0      0     0 ?        S    Apr21   0:00 [kseriod]
root       113  0.0  0.0      0     0 ?        S    Apr21   0:00 [md/0]
root       114  0.0  0.0      0     0 ?        S    Apr21   0:00 [md/1]
root       115  0.0  0.0      0     0 ?        S    Apr21   0:00 [md/2]
root       116  0.0  0.0      0     0 ?        S    Apr21   0:00 [md/3]
root       117  0.0  0.0      0     0 ?        S    Apr21   0:00 [md/4]
root       118  0.0  0.0      0     0 ?        S    Apr21   0:00 [md/5]
root       119  0.0  0.0      0     0 ?        S    Apr21   0:00 [md/6]
root       120  0.0  0.0      0     0 ?        S    Apr21   0:00 [md/7]
root       121  0.0  0.0      0     0 ?        S    Apr21   0:00 [md/8]
