USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root       367  0.0  0.0      0     0 ?        S    16:51   0:00 [ext4-dio-unwrit]
root       368  0.0  0.0      0     0 ?        S    16:51   0:00 [ext4-dio-unwrit]
root       405  0.0  0.0      0     0 ?        S    16:51   0:00 [flush-8:0]
root       406  0.0  0.0      0     0 ?        S    16:51   0:00 [flush-8:16]
root       463  0.1  0.0  10852   952 ?        S<s  16:51   0:00 /sbin/udevd -d
root       503  0.0  0.0      0     0 ?        S    16:51   0:00 [edac-poller]
root       565  0.0  0.0      0     0 ?        S    16:51   0:00 [hd-audio0]
root       568  0.0  0.0      0     0 ?        S    16:51   0:00 [hd-audio1]
root       887  0.0  0.0      0     0 ?        S    16:51   0:00 [kvm-irqfd-clean]
root       935  0.0  0.0      0     0 ?        S    16:51   0:00 [kjournald]
root       986  0.0  0.0      0     0 ?        S    16:51   0:00 [kauditd]
root      1164  0.0  0.0      0     0 ?        S    16:51   0:00 [flush-253:0]
root      1304  0.0  0.0  27640   840 ?        S<sl 16:51   0:00 auditd
root      1329  0.0  0.0 257480  1904 ?        Sl   16:51   0:00 /sbin/rsyslogd -i /var/run/syslogd.pid -c 5
root      1358  0.0  0.0  10820   652 ?        Ss   16:51   0:00 irqbalance --pid=/var/run/irqbalance.pid
rpc       1372  0.0  0.0  18976   892 ?        Ss   16:51   0:00 rpcbind
root      1474  0.0  0.0 121032   964 ?        Ssl  16:51   0:00 /usr/lib/vmware/bin/vmware-vmblock-fuse -o subtype=vmware-vmblock,default_permissions,allow_other /var/run/vmblock-fuse
root      1487  0.0  0.0   4532   508 ?        Ss   16:51   0:00 /usr/bin/vmnet-bridge -s 6 -d /var/run/vmnet-bridge-0.pid -n 0
root      1495  0.0  0.0   4504   260 ?        Ss   16:51   0:00 /usr/bin/vmnet-netifup -s 6 -d /var/run/vmnet-netifup-vmnet1.pid /dev/vmnet1 vmnet1
root      1519  0.0  0.0  13644   484 ?        Ss   16:51   0:00 /usr/bin/vmnet-dhcpd -s 6 -cf /etc/vmware/vmnet1/dhcpd/dhcpd.conf -lf /etc/vmware/vmnet1/dhcpd/dhcpd.leases -pf /var/run/vmnet-dhcpd-vmnet1.pid vmnet1
root      1522  0.0  0.0  11448  1144 ?        S    16:51   0:00 /usr/bin/vmnet-natd -s 6 -m /etc/vmware/vmnet8/nat.mac -c /etc/vmware/vmnet8/nat/nat.conf
root      1524  0.0  0.0   4504   268 ?        Ss   16:51   0:00 /usr/bin/vmnet-netifup -s 6 -d /var/run/vmnet-netifup-vmnet8.pid /dev/vmnet8 vmnet8
root      1548  0.0  0.0  13644   480 ?        Ss   16:51   0:00 /usr/bin/vmnet-dhcpd -s 6 -cf /etc/vmware/vmnet8/dhcpd/dhcpd.conf -lf /etc/vmware/vmnet8/dhcpd/dhcpd.leases -pf /var/run/vmnet-dhcpd-vmnet8.pid vmnet8
root      1567  0.0  0.0  23580   904 ?        Ss   16:51   0:00 /usr/sbin/vmware-authdlauncher
dbus      2241  0.0  0.0  23892  1408 ?        Ss   16:51   0:00 dbus-daemon --system
root      2251  0.0  0.0 100408  5848 ?        Ssl  16:51   0:00 NetworkManager --pid-file=/var/run/NetworkManager/NetworkManager.pid
root      2258  0.0  0.0  58048  2568 ?        S    16:51   0:00 /usr/sbin/modem-manager
rpcuser   2270  0.0  0.0  23348  1340 ?        Ss   16:51   0:00 rpc.statd
nslcd     2279  0.0  0.0 450968  4664 ?        Ssl  16:51   0:00 /usr/sbin/nslcd
root      2321  0.0  0.0 189620  3688 ?        Ss   16:51   0:00 cupsd -C /etc/cups/cupsd.conf
root      2324  0.0  0.0   9120  1536 ?        S    16:51   0:00 /sbin/dhclient -d -4 -sf /usr/libexec/nm-dhcp-client.action -pf /var/run/dhclient-eth0.pid -lf /var/lib/dhclient/dhclient-5fb06bd0-0bb0-7ffb-45f1-d6edd65f3e03-eth0.lease -cf /var/run/nm-dhclient-eth0.conf eth0
root      2352  0.0  0.0   4080   636 ?        Ss   16:51   0:00 /usr/sbin/acpid
68        2361  0.0  0.0  41144  5660 ?        Ssl  16:51   0:00 hald
root      2362  0.0  0.0  20324  1352 ?        S    16:51   0:00 hald-runner
root      2449  0.0  0.0  22444  1276 ?        S    16:52   0:00 hald-addon-input: Listening on /dev/input/event5 /dev/input/event4 /dev/input/event0 /dev/input/event1
root      2453  0.0  0.0  22440  1288 ?        S    16:52   0:00 hald-addon-storage: polling /dev/sr0 (every 2 sec)
68        2454  0.0  0.0  17932  1136 ?        S    16:52   0:00 hald-addon-acpi: listening on acpid socket /var/run/acpid.socket
root      2476  0.0  0.0  91272  1672 ?        Ssl  16:52   0:00 pcscd
root      2492  0.0  0.0 390032  2216 ?        Ssl  16:52   0:00 automount --pid-file /var/run/autofs.pid
nscd      2509  0.1  0.0 902620  1768 ?        Ssl  16:52   0:00 /usr/sbin/nscd
root      2864  0.0  0.0   4388   504 ?        Ss   16:52   0:00 /usr/sbin/mcelog --daemon
root      2874  0.0  0.0      0     0 ?        S    16:52   0:00 [afs_pagecopy]
root      2880  0.0  0.0      0     0 ?        S    16:52   0:00 [afs_callback]
root      2881  0.0  0.0   6560   396 ?        Ss   16:52   0:00 /usr/vice/etc/afsd -dynroot -fakestat -afsdb
root      2882  0.0  0.0      0     0 ?        S    16:52   0:00 [afs_rxlistener]
root      2883  0.0  0.0      0     0 ?        S    16:52   0:00 [afs_rxevent]
root      2887  0.0  0.0      0     0 ?        S    16:52   0:00 [afsd]
root      2889  0.0  0.0      0     0 ?        S    16:52   0:00 [afs_background]
root      2890  0.0  0.0      0     0 ?        S    16:52   0:00 [afs_checkserver]
root      2893  0.0  0.0      0     0 ?        S    16:52   0:00 [afs_background]
root      2894  0.0  0.0      0     0 ?        S    16:52   0:00 [afs_background]
root      2895  0.0  0.0      0     0 ?        S    16:52   0:00 [afs_background]
root      2897  0.0  0.0      0     0 ?        S    16:52   0:00 [afs_cachetrim]
root      2907  0.0  0.0  21932  1552 ?        Ss   16:52   0:00 /usr/bin/vmware-usbarbitrator
root      2940  0.0  0.0  64744  1220 ?        Ss   16:52   0:00 /usr/sbin/sshd
root      2948  0.0  0.0  22632   996 ?        Ss   16:52   0:00 xinetd -stayalive -pidfile /var/run/xinetd.pid
ntp       2956  0.0  0.0  25268  1772 ?        Ss   16:52   0:00 ntpd -u ntp:ntp -p /var/run/ntpd.pid -g
root      3038  0.0  0.0  80056  3416 ?        Ss   16:52   0:00 /usr/libexec/postfix/master
postfix   3044  0.0  0.0  79924  3360 ?        S    16:52   0:00 pickup -l -t fifo -u
postfix   3045  0.0  0.0  79992  3400 ?        S    16:52   0:00 qmgr -l -t fifo -u
root      3062  0.0  0.0 108456   920 ?        Ss   16:52   0:00 /usr/sbin/abrtd
root      3070  0.0  0.0 108204   956 ?        Ss   16:52   0:00 abrt-dump-oops -d /var/spool/abrt -rwx /var/log/messages
root      3089  0.0  0.0   6736   528 ?        Ss   16:52   0:00 /usr/sbin/gpm -m /dev/input/mice -t exps2
root      3106  0.0  0.0 106308   888 ?        S    16:52   0:00 /bin/bash /usr/sbin/ksmtuned
root      3115  0.0  0.0 115436  1032 ?        Ss   16:52   0:00 crond
root      3129  0.0  0.0  19888   464 ?        Ss   16:52   0:00 /usr/sbin/atd
root      3148  0.0  0.0 262640  1540 ?        Ssl  16:52   0:00 /usr/libexec/karl
root      3181  0.0  0.0 100892   436 ?        Ss   16:52   0:00 rhnsd
root      3189  0.0  0.0 104016   672 ?        Ss   16:52   0:00 /usr/bin/rhsmcertd
