USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0  21448  1172 ?        Ss   Feb25   0:11 /sbin/init
root         2  0.0  0.0      0     0 ?        S    Feb25   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    Feb25   0:01 [migration/0]
root         4  0.0  0.0      0     0 ?        S    Feb25   0:31 [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S    Feb25   0:00 [migration/0]
root         6  0.0  0.0      0     0 ?        S    Feb25   0:04 [watchdog/0]
root         7  0.0  0.0      0     0 ?        S    Feb25   0:02 [migration/1]
root         8  0.0  0.0      0     0 ?        S    Feb25   0:00 [migration/1]
root         9  0.0  0.0      0     0 ?        S    Feb25   0:26 [ksoftirqd/1]
root        10  0.0  0.0      0     0 ?        S    Feb25   0:04 [watchdog/1]
root        11  0.0  0.0      0     0 ?        S    Feb25   0:02 [migration/2]
root        12  0.0  0.0      0     0 ?        S    Feb25   0:00 [migration/2]
root        13  0.0  0.0      0     0 ?        S    Feb25   0:15 [ksoftirqd/2]
root        14  0.0  0.0      0     0 ?        S    Feb25   0:04 [watchdog/2]
root        15  0.0  0.0      0     0 ?        S    Feb25   0:02 [migration/3]
root        16  0.0  0.0      0     0 ?        S    Feb25   0:00 [migration/3]
root        17  0.0  0.0      0     0 ?        S    Feb25   0:05 [ksoftirqd/3]
root        18  0.0  0.0      0     0 ?        S    Feb25   0:04 [watchdog/3]
root        19  0.0  0.0      0     0 ?        S    Feb25   0:02 [migration/4]
root        20  0.0  0.0      0     0 ?        S    Feb25   0:00 [migration/4]
root        21  0.0  0.0      0     0 ?        S    Feb25   0:06 [ksoftirqd/4]
root        22  0.0  0.0      0     0 ?        S    Feb25   0:04 [watchdog/4]
root        23  0.0  0.0      0     0 ?        S    Feb25   0:05 [migration/5]
root        24  0.0  0.0      0     0 ?        S    Feb25   0:00 [migration/5]
root        25  0.0  0.0      0     0 ?        S    Feb25   0:09 [ksoftirqd/5]
root        26  0.0  0.0      0     0 ?        S    Feb25   0:04 [watchdog/5]
root        27  0.0  0.0      0     0 ?        S    Feb25  15:37 [events/0]
root        28  0.0  0.0      0     0 ?        S    Feb25   2:42 [events/1]
root        29  0.0  0.0      0     0 ?        S    Feb25   2:24 [events/2]
root        30  0.0  0.0      0     0 ?        S    Feb25   5:08 [events/3]
root        31  0.0  0.0      0     0 ?        S    Feb25   2:25 [events/4]
root        32  0.0  0.0      0     0 ?        S    Feb25   2:53 [events/5]
root        33  0.0  0.0      0     0 ?        S    Feb25   0:00 [cgroup]
root        34  0.0  0.0      0     0 ?        S    Feb25   0:00 [khelper]
root        35  0.0  0.0      0     0 ?        S    Feb25   0:00 [netns]
root        36  0.0  0.0      0     0 ?        S    Feb25   0:00 [async/mgr]
root        37  0.0  0.0      0     0 ?        S    Feb25   0:00 [pm]
root        38  0.0  0.0      0     0 ?        S    Feb25   0:15 [sync_supers]
root        39  0.0  0.0      0     0 ?        S    Feb25   0:16 [bdi-default]
root        40  0.0  0.0      0     0 ?        S    Feb25   0:00 [kintegrityd/0]
root        41  0.0  0.0      0     0 ?        S    Feb25   0:00 [kintegrityd/1]
root        42  0.0  0.0      0     0 ?        S    Feb25   0:00 [kintegrityd/2]
root        43  0.0  0.0      0     0 ?        S    Feb25   0:00 [kintegrityd/3]
root        44  0.0  0.0      0     0 ?        S    Feb25   0:00 [kintegrityd/4]
root        45  0.0  0.0      0     0 ?        S    Feb25   0:00 [kintegrityd/5]
root        46  0.0  0.0      0     0 ?        S    Feb25   1:26 [kblockd/0]
root        47  0.0  0.0      0     0 ?        S    Feb25   1:18 [kblockd/1]
root        48  0.0  0.0      0     0 ?        S    Feb25   1:07 [kblockd/2]
root        49  0.0  0.0      0     0 ?        S    Feb25   1:56 [kblockd/3]
root        50  0.0  0.0      0     0 ?        S    Feb25   3:16 [kblockd/4]
root        51  0.0  0.0      0     0 ?        S    Feb25  12:03 [kblockd/5]
root        52  0.0  0.0      0     0 ?        S    Feb25   0:00 [kacpid]
root        53  0.0  0.0      0     0 ?        S    Feb25   0:00 [kacpi_notify]
root        54  0.0  0.0      0     0 ?        S    Feb25   0:00 [kacpi_hotplug]
root        55  0.0  0.0      0     0 ?        S    Feb25  13:28 [ata/0]
root        56  0.0  0.0      0     0 ?        S    Feb25   2:59 [ata/1]
root        57  0.0  0.0      0     0 ?        S    Feb25   1:18 [ata/2]
root        58  0.0  0.0      0     0 ?        S    Feb25   1:53 [ata/3]
root        59  0.0  0.0      0     0 ?        S    Feb25   2:26 [ata/4]
root        60  0.0  0.0      0     0 ?        S    Feb25  13:38 [ata/5]
root        61  0.0  0.0      0     0 ?        S    Feb25   0:00 [ata_aux]
root        62  0.0  0.0      0     0 ?        S    Feb25   0:00 [ksuspend_usbd]
root        63  0.0  0.0      0     0 ?        S    Feb25   0:00 [khubd]
